G1G48-801-MONOMER	G1G48-801	Q5LVB1	peptidase M23	
G1G48-3352-MONOMER	G1G48-3352		hypothetical protein	
G1G48-3956-MONOMER	G1G48-3956	Q5LLM8	transcription termination factor Rho	
G1G48-1183-MONOMER	G1G48-1183		AsnC family transcriptional regulator	
G1G48-330-MONOMER	G1G48-330	Q5LXB1	membrane protein	
G1G48-2182-MONOMER	G1G48-2182	Q5LRI4	hypothetical protein	
G1G48-1128-MONOMER	G1G48-1128	Q5LUE5	endonuclease	
G1G48-2640-MONOMER	G1G48-2640	Q5LQ98	helix-turn-helix domain-containing protein	
G1G48-1847-MONOMER	G1G48-1847	Q5LSF8	cation acetate symporter	
G1G48-4258-MONOMER	G1G48-4258	Q5LKU3	dimethyladenosine transferase	
G1G48-567-MONOMER	G1G48-567	Q5LVY4	peptide ABC transporter substrate-binding protein	
G1G48-2931-MONOMER	G1G48-2931		dihydrodipicolinate synthase family protein	
G1G48-3799-MONOMER	G1G48-3799	Q5LM24	peptide-methionine (S)-S-oxide reductase	
G1G48-3780-MONOMER	G1G48-3780	Q5LM43	hypothetical protein	
G1G48-396-MONOMER	G1G48-396	Q5LXH4	ArsR family transcriptional regulator	
G1G48-1610-MONOMER	G1G48-1610	Q5LT36	ammonium transporter	
G1G48-291-MONOMER	G1G48-291	Q5LX75	aspartate carbamoyltransferase	
G1G48-748-MONOMER	G1G48-748	Q5LVG4	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-1570-MONOMER	G1G48-1570		hypothetical protein	
G1G48-488-MONOMER	G1G48-488	Q5LW61	NADH-ubiquinone oxidoreductase	
G1G48-3896-MONOMER	G1G48-3896		hypothetical protein	
CPLX1G48-6			predicted ABC transporter of spermidine/putrescine	
G1G48-4387-MONOMER	G1G48-4387	Q5LKH2	tryptophan 2,3-dioxygenase	
G1G48-3532-MONOMER	G1G48-3532	Q5LMT4	FAD-binding oxidoreductase	
G1G48-646-MONOMER	G1G48-646	Q5LVR5	diguanylate cyclase	
G1G48-2035-MONOMER	G1G48-2035		hypothetical protein	
G1G48-207-MONOMER	G1G48-207	Q5LX01	flagellar motor stator protein MotA	
G1G48-2980-MONOMER	G1G48-2980	Q5LPB6	NADP-dependent malic enzyme	
G1G48-2492-MONOMER	G1G48-2492	Q5LQN9	aspartyl protease	
G1G48-1480-MONOMER	G1G48-1480	Q5LTG5	ATP-dependent acyl-CoA ligase	
CPLX1G48-27			predicted ABC transporter of a peptide	
G1G48-1428-MONOMER	G1G48-1428	Q5LTL8	MFS transporter	
G1G48-2323-MONOMER	G1G48-2323	Q5LR45	LuxR family transcriptional regulator	
G1G48-3020-MONOMER	G1G48-3020	Q5LP77	hypothetical protein	
G1G48-3331-MONOMER	G1G48-3331	Q5LND0	DNA damage-inducible protein DinB	
G1G48-4275-MONOMER	G1G48-4275	Q5LKS7	integrase	
G1G48-514-MONOMER	G1G48-514	Q5LW36	adenylate kinase	
G1G48-3699-MONOMER	G1G48-3699	Q5LMC1	carbon monoxide dehydrogenase	
G1G48-2371-MONOMER	G1G48-2371		exosortase E/protease, VPEID-CTERM system	
G1G48-3067-MONOMER	G1G48-3067		hypothetical protein	
CPLX1G48-56			predicted ABC transporter of a C4-dicarboxylate	
G1G48-151-MONOMER	G1G48-151	Q5LWT8	enoyl-CoA hydratase	
G1G48-1252-MONOMER	G1G48-1252		hypothetical protein	
G1G48-3301-MONOMER	G1G48-3301	Q5LNF4	N-acetyltransferase	
G1G48-1029-MONOMER	G1G48-1029		branched-chain amino acid ABC transporter permease	
G1G48-3707-MONOMER	G1G48-3707	Q5LMB3	guanylate cyclase	
G1G48-288-MONOMER	G1G48-288	Q5LX78	dihydroorotase	
G1G48-3267-MONOMER	G1G48-3267	Q5LNI7	peptide deformylase	
G1G48-2348-MONOMER	G1G48-2348	Q5LR20	aconitate hydratase	
G1G48-794-MONOMER	G1G48-794	Q5LVB8	chloramphenicol acetyltransferase	
G1G48-644-MONOMER	G1G48-644	Q5LVR7	gamma-glutamyltransferase	
G1G48-2047-MONOMER	G1G48-2047		ABC transporter permease	
G1G48-1418-MONOMER	G1G48-1418		hydrolase	
G1G48-1800-MONOMER	G1G48-1800	Q5LSK2	hypothetical protein	
G1G48-2758-MONOMER	G1G48-2758	Q5LPY4	peptide synthetase	
G1G48-1094-MONOMER	G1G48-1094	Q5LUH9	hypothetical protein	
G1G48-2304-MONOMER	G1G48-2304		hypothetical protein	
G1G48-3105-MONOMER	G1G48-3105	Q5LNZ6	flavin reductase	
G1G48-1254-MONOMER	G1G48-1254	Q5LU28	hypothetical protein	
G1G48-835-MONOMER	G1G48-835	Q5LV77	ABC transporter substrate-binding protein	
G1G48-3879-MONOMER	G1G48-3879	Q5LLV2	cell division protein ZapE	
G1G48-1114-MONOMER	G1G48-1114		hypothetical protein	
G1G48-944-MONOMER	G1G48-944	Q5LUW5	hypothetical protein	
G1G48-3575-MONOMER	G1G48-3575	Q5LMP3	copper-translocating P-type ATPase	
G1G48-398-MONOMER	G1G48-398	Q5LXH2	glyoxalase	
G1G48-1672-MONOMER	G1G48-1672	Q5LSX4	LysR family transcriptional regulator	
G1G48-841-MONOMER	G1G48-841	Q5LV71	xanthine dehydrogenase	
G1G48-3133-MONOMER	G1G48-3133	Q5LNW9	lytic murein transglycosylase	
G1G48-3458-MONOMER	G1G48-3458	Q5LN06	TetR family transcriptional regulator	
G1G48-1338-MONOMER	G1G48-1338	Q5LTV2	hypothetical protein	
G1G48-1083-MONOMER	G1G48-1083	Q5LUJ0	serine/threonine protein phosphatase	
G1G48-1319-MONOMER	G1G48-1319	Q5LTW9	polyhydroxyalkanoate depolymerase	
G1G48-3811-MONOMER	G1G48-3811	Q5LM12	6-carboxytetrahydropterin synthase QueD	
G1G48-2255-MONOMER	G1G48-2255	Q5LRB3	transcriptional regulator	
G1G48-4320-MONOMER	G1G48-4320	Q5LKN8	hypothetical protein	
G1G48-1001-MONOMER	G1G48-1001	Q5LUR1	thioredoxin	
G1G48-2759-MONOMER	G1G48-2759	Q5LPY3	protein translocase subunit SecA 2	
G1G48-3994-MONOMER	G1G48-3994	Q5LLK0	hypothetical protein	
G1G48-2840-MONOMER	G1G48-2840	Q5LPQ8	methylcrotonoyl-CoA carboxylase	
G1G48-3504-MONOMER	G1G48-3504		ribonuclease HII	
G1G48-2625-MONOMER	G1G48-2625		hypothetical protein	
G1G48-3912-MONOMER	G1G48-3912		heme biosynthesis protein HemY	
G1G48-50-MONOMER	G1G48-50		thiamine biosynthesis protein ThiF	
G1G48-4008-MONOMER	G1G48-4008	Q5LLH6	carbohydrate-binding protein	
G1G48-2593-MONOMER	G1G48-2593	Q5LQE0	GntR family transcriptional regulator	
G1G48-3519-MONOMER	G1G48-3519	Q5LMU7	FAD-dependent oxidoreductase	
G1G48-3870-MONOMER	G1G48-3870	Q5LLW1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	
G1G48-3963-MONOMER	G1G48-3963	Q5LLK4	hypothetical protein	
G1G48-3161-MONOMER	G1G48-3161	Q5LNU2	protein TolR	
G1G48-3313-MONOMER	G1G48-3313		hypothetical protein	
G1G48-3219-MONOMER	G1G48-3219	Q5LNN4	ATP-dependent Clp protease ATP-binding subunit ClpA	
G1G48-2621-MONOMER	G1G48-2621	Q5LQB6	TetR family transcriptional regulator	
G1G48-3709-MONOMER	G1G48-3709		hypothetical protein	
G1G48-263-MONOMER	G1G48-263	Q5LX50	AraC family transcriptional regulator	
G1G48-1851-MONOMER	G1G48-1851		C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-1120-MONOMER	G1G48-1120	Q5LUF3	acetyl/propionyl-CoA carboxylase subunit alpha	
G1G48-2009-MONOMER	G1G48-2009	Q5LRZ9	enoyl-CoA hydratase	
G1G48-3936-MONOMER	G1G48-3936	Q5LLP7	hypothetical protein	
G1G48-4109-MONOMER	G1G48-4109	Q5LL89	hypothetical protein	
G1G48-12-MONOMER	G1G48-12	Q5LWG9	malic enzyme	
G1G48-4166-MONOMER	G1G48-4166	Q5LL33	cytochrome c-type biogenesis protein CycL	
G1G48-885-MONOMER	G1G48-885	Q5LV27	aldehyde dehydrogenase	
G1G48-2892-MONOMER	G1G48-2892	Q5LPK6	glucose-1-dehydrogenase	
G1G48-540-MONOMER	G1G48-540	Q5LW10	GGDEF-domain containing protein	
G1G48-2367-MONOMER	G1G48-2367		hypothetical protein	
G1G48-4118-MONOMER	G1G48-4118		ornithine cyclodeaminase	
G1G48-1384-MONOMER	G1G48-1384	Q5LTQ8	glycine--tRNA ligase subunit alpha	
G1G48-4243-MONOMER	G1G48-4243	Q5LKV7	S-(hydroxymethyl)glutathione dehydrogenase	
G1G48-57-MONOMER	G1G48-57	Q5LWK1	hypothetical protein	
G1G48-1202-MONOMER	G1G48-1202	Q5LU75	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	
G1G48-628-MONOMER	G1G48-628	Q5LVS6	SAM-dependent methyltransferase	
G1G48-2620-MONOMER	G1G48-2620	Q5LQB7	DNA-binding response regulator	
G1G48-3507-MONOMER	G1G48-3507	Q5LMV8	hypothetical protein	
G1G48-1750-MONOMER	G1G48-1750	Q5LSP9	urease accessory protein UreG	
G1G48-453-MONOMER	G1G48-453	Q5LW96	ABC transporter ATP-binding protein	
G1G48-3927-MONOMER	G1G48-3927	Q5LLQ6	protein senC	
G1G48-3011-MONOMER	G1G48-3011		membrane protein	
G1G48-1531-MONOMER	G1G48-1531		pyrroloquinoline quinone biosynthesis protein PqqE	
G1G48-1946-MONOMER	G1G48-1946		hypothetical protein	
G1G48-3638-MONOMER	G1G48-3638	Q5LMI1	adenosine kinase	
G1G48-4380-MONOMER	G1G48-4380	Q5LKH9	cupin	
G1G48-2290-MONOMER	G1G48-2290	Q5LR77	hypothetical protein	
G1G48-2861-MONOMER	G1G48-2861	Q5LPN7	amidohydrolase	
G1G48-1559-MONOMER	G1G48-1559	Q5LT86	hypothetical protein	
G1G48-3589-MONOMER	G1G48-3589	Q5LMM9	peptide ABC transporter ATPase	
G1G48-1204-MONOMER	G1G48-1204	Q5LU73	hypothetical protein	
G1G48-1669-MONOMER	G1G48-1669	Q5LSX7	single-stranded DNA-binding protein	
G1G48-85-MONOMER	G1G48-85	Q5LWM7	betaine-aldehyde dehydrogenase	
G1G48-877-MONOMER	G1G48-877	Q5LV35	translocation/assembly module TamB	
G1G48-476-MONOMER	G1G48-476	Q5LW72	carbon-phosphorus lyase complex subunit PhnI	
G1G48-3974-MONOMER	G1G48-3974	Q5LLM6	cytidylate kinase	
G1G48-2753-MONOMER	G1G48-2753	Q5LPY9	LLM class flavin-dependent oxidoreductase	
G1G48-2716-MONOMER	G1G48-2716		alanine racemase	
G1G48-1432-MONOMER	G1G48-1432	Q5LTL4	3-keto-5-aminohexanoate cleavage protein	
G1G48-3337-MONOMER	G1G48-3337		Fe(3+) ABC transporter substrate-binding protein	
G1G48-3666-MONOMER	G1G48-3666		short-chain dehydrogenase	
G1G48-1135-MONOMER	G1G48-1135	Q5LUD9	hypothetical protein	
G1G48-1438-MONOMER	G1G48-1438	Q5LTK8	hypothetical protein	
G1G48-2580-MONOMER	G1G48-2580		hypothetical protein	
G1G48-598-MONOMER	G1G48-598		hypothetical protein	
G1G48-3499-MONOMER	G1G48-3499	Q5LMW5	hypothetical protein	
G1G48-4024-MONOMER	G1G48-4024	Q5LLG0	TetR family transcriptional regulator	
G1G48-1208-MONOMER	G1G48-1208	Q5LU69	EamA family transporter	
G1G48-2108-MONOMER	G1G48-2108	Q5LRQ5	polyketide biosynthesis protein	
G1G48-2426-MONOMER	G1G48-2426	Q5LQV0	benzaldehyde lyase	
G1G48-2340-MONOMER	G1G48-2340	Q5LR29	hypothetical protein	
G1G48-4066-MONOMER	G1G48-4066	Q5LLC9	ABC transporter ATP-binding protein	
G1G48-4142-MONOMER	G1G48-4142	Q5LL56	hypothetical protein	
G1G48-1270-MONOMER	G1G48-1270	Q5LU15	elongation factor P	
G1G48-3835-MONOMER	G1G48-3835	Q5LLZ0	ABC transporter permease	
G1G48-2562-MONOMER	G1G48-2562	Q5LQH1	PIN domain-containing protein	
G1G48-3465-MONOMER	G1G48-3465	Q5LMZ9	transporter	
G1G48-1838-MONOMER	G1G48-1838	Q5LSG7	hypothetical protein	
G1G48-4212-MONOMER	G1G48-4212	Q5LKY8	gluconolactonase	
G1G48-960-MONOMER	G1G48-960	Q5LUU9	thiol:disulfide oxidoreductase	
G1G48-3834-MONOMER	G1G48-3834	Q5LLZ1	cytochrome c	
G1G48-3361-MONOMER	G1G48-3361	Q5LNA1	6-O-methylguanine DNA methyltransferase	
G1G48-1803-MONOMER	G1G48-1803	Q5LSK0	acetyltransferase	
G1G48-3806-MONOMER	G1G48-3806	Q5LM17	glyoxalase	
G1G48-3531-MONOMER	G1G48-3531	Q5LMT5	membrane protein	
G1G48-307-MONOMER	G1G48-307	Q5LX96	hypothetical protein	
G1G48-4120-MONOMER	G1G48-4120	Q5LL78	GntR family transcriptional regulator	
G1G48-2948-MONOMER	G1G48-2948	Q5LPE9	bifunctional NADH dehydrogenase FAD-containing subunit/selenide, water dikinase SelD	
G1G48-2949-MONOMER	G1G48-2949	Q5LPE8	tRNA 2-selenouridine(34) synthase MnmH	
G1G48-2628-MONOMER	G1G48-2628	Q5LQB0	amidase	
G1G48-3477-MONOMER	G1G48-3477	Q5LMY7	exodeoxyribonuclease III	
G1G48-51-MONOMER	G1G48-51		ABC transporter ATP-binding protein	
G1G48-1984-MONOMER	G1G48-1984	Q5LS24	gamma carbonic anhydrase family protein	
G1G48-3586-MONOMER	G1G48-3586	Q5LMN2	transcriptional regulator	
G1G48-3256-MONOMER	G1G48-3256	Q5LNJ8	NYN domain-containing protein	
G1G48-506-MONOMER	G1G48-506	Q5LW44	30S ribosomal protein S8	
G1G48-4321-MONOMER	G1G48-4321	Q5LKN7	LysR family transcriptional regulator	
G1G48-2547-MONOMER	G1G48-2547	Q5LQI5	deoxyguanosinetriphosphate triphosphohydrolase	
G1G48-4368-MONOMER	G1G48-4368	Q5LKJ1	phosphonate monoester hydrolase	
G1G48-3539-MONOMER	G1G48-3539	Q5LMS7	hypothetical protein	
G1G48-916-MONOMER	G1G48-916	Q5LUZ6	polyphenol oxidase	
G1G48-757-MONOMER	G1G48-757	Q5LVF5	peroxidase	
G1G48-4181-MONOMER	G1G48-4181	Q5LL19	membrane protein	
G1G48-3693-MONOMER	G1G48-3693	Q5LMC7	UvrABC system protein C	
G1G48-520-MONOMER	G1G48-520		hypothetical protein	
G1G48-3747-MONOMER	G1G48-3747	Q5LM74	gentisate 1,2-dioxygenase	
G1G48-2736-MONOMER	G1G48-2736	Q5LQ06	methyltransferase type 11	
G1G48-3117-MONOMER	G1G48-3117		Zn-dependent hydrolase	
G1G48-1745-MONOMER	G1G48-1745	Q5LSQ4	urease subunit gamma	
G1G48-100-MONOMER	G1G48-100	Q5LWP8	peptide ABC transporter permease	
G1G48-2869-MONOMER	G1G48-2869	Q5LPM9	pyridine nucleotide transhydrogenase	PntB
G1G48-4227-MONOMER	G1G48-4227	Q5LKX3	hypothetical protein	
G1G48-1175-MONOMER	G1G48-1175	Q5LU99	imidazole glycerol phosphate synthase cyclase subunit	
G1G48-2179-MONOMER	G1G48-2179	Q5LRI7	pyridoxamine 5''-phosphate oxidase	
G1G48-1674-MONOMER	G1G48-1674		hypothetical protein	
G1G48-1909-MONOMER	G1G48-1909	Q5LS95	MFS transporter	
G1G48-2057-MONOMER	G1G48-2057	Q5LRV4	exosortase	
G1G48-418-MONOMER	G1G48-418		hypothetical protein	
G1G48-773-MONOMER	G1G48-773	Q5LVD9	glutamine amidotransferase	
G1G48-1933-MONOMER	G1G48-1933	Q5LS71	cytochrome P450	
G1G48-2417-MONOMER	G1G48-2417	Q5LQV8	CoA-binding protein	
G1G48-2398-MONOMER	G1G48-2398	Q5LQX4	TRAP transporter substrate-binding protein DctP	
G1G48-2636-MONOMER	G1G48-2636	Q5LQA2	DSBA oxidoreductase	
G1G48-2742-MONOMER	G1G48-2742	Q5LQ00	hypothetical protein	
G1G48-1563-MONOMER	G1G48-1563		hypothetical protein	
G1G48-905-MONOMER	G1G48-905	Q5LV07	heat-shock protein Hsp20	
G1G48-1481-MONOMER	G1G48-1481	Q5LTG4	aromatic 1,2-dioxygenase subunit beta	
G1G48-315-MONOMER	G1G48-315	Q5LX90	molybdopterin-guanine dinucleotide biosynthesis protein B	
G1G48-2992-MONOMER	G1G48-2992		hypothetical protein	
G1G48-1288-MONOMER	G1G48-1288	Q5LU00	multidrug transporter MatE	
G1G48-1091-MONOMER	G1G48-1091	Q5LUI2	transcriptional regulator	
G1G48-2159-MONOMER	G1G48-2159	Q5LRK6	ornithine cyclodeaminase	
G1G48-3454-MONOMER	G1G48-3454	Q5LN10	amino acid transporter LysE	
G1G48-2118-MONOMER	G1G48-2118		GTPase HflX	
G1G48-235-MONOMER	G1G48-235	Q5LX28	hypothetical protein	
G1G48-3102-MONOMER	G1G48-3102	Q5LNZ9	NUDIX domain-containing protein	
G1G48-2314-MONOMER	G1G48-2314	Q5LR54	cytochrome	
G1G48-3000-MONOMER	G1G48-3000	Q5LP96	dATP pyrophosphohydrolase	
G1G48-2585-MONOMER	G1G48-2585	Q5LQE8	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	
G1G48-2867-MONOMER	G1G48-2867	Q5LPN1	hypothetical protein	
G1G48-725-MONOMER	G1G48-725	Q5LVI6	HPr family phosphocarrier protein	
G1G48-1291-MONOMER	G1G48-1291	Q5LTZ7	hypothetical protein	
G1G48-3772-MONOMER	G1G48-3772	Q5LM51	hypothetical protein	
G1G48-228-MONOMER	G1G48-228	Q5LX16	polyphosphate kinase 2	
G1G48-834-MONOMER	G1G48-834	Q5LV78	ABC transporter permease	
G1G48-265-MONOMER	G1G48-265	Q5LX48	alkaline phosphatase	
G1G48-1547-MONOMER	G1G48-1547		amino acid ABC transporter substrate-binding protein	
G1G48-2528-MONOMER	G1G48-2528	Q5LQK3	hypothetical protein	
G1G48-431-MONOMER	G1G48-431	Q5LWB8	MFS transporter	
G1G48-2509-MONOMER	G1G48-2509	Q5LQM2	glyoxalase/bleomycin resistance/dioxygenase family protein	
G1G48-3492-MONOMER	G1G48-3492	Q5LMX2	short-chain dehydrogenase	
G1G48-2171-MONOMER	G1G48-2171	Q5LRJ4	membrane protein	
G1G48-3452-MONOMER	G1G48-3452	Q5LN12	dimethylglycine dehydrogenase	
G1G48-742-MONOMER	G1G48-742	Q5LVH0	glycerol-3-phosphate dehydrogenase	
G1G48-2905-MONOMER	G1G48-2905	Q5LPJ2	hypothetical protein	
G1G48-558-MONOMER	G1G48-558	Q5LVZ3	glycosyl transferase	
G1G48-3957-MONOMER	G1G48-3957	Q5LLM7	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	
G1G48-1106-MONOMER	G1G48-1106	Q5LUG7	choline transporter	
G1G48-2140-MONOMER	G1G48-2140	Q5LRM3	lipoyl synthase	
G1G48-1949-MONOMER	G1G48-1949	Q5LS56	acrylyl-CoA reductase AcuI	
G1G48-3612-MONOMER	G1G48-3612	Q5LMK7	4-hydroxy-tetrahydrodipicolinate synthase	
G1G48-2060-MONOMER	G1G48-2060	Q5LRV1	hypothetical protein	
G1G48-3756-MONOMER	G1G48-3756	Q5LM65	hypothetical protein	
G1G48-1220-MONOMER	G1G48-1220		hypothetical protein	
G1G48-3180-MONOMER	G1G48-3180	Q5LNS3	tyrosine recombinase XerC	
G1G48-65-MONOMER	G1G48-65	Q5LWL1	ribosome maturation factor	
G1G48-142-MONOMER	G1G48-142	Q5LWU6	ATPase AAA	
G1G48-205-MONOMER	G1G48-205	Q5LWY7	hypothetical protein	
G1G48-3774-MONOMER	G1G48-3774	Q5LM49	carbonic anhydrase	
G1G48-1041-MONOMER	G1G48-1041	Q5LUM1	hypothetical protein	
G1G48-238-MONOMER	G1G48-238	Q5LX25	AsnC family transcriptional regulator	
G1G48-871-MONOMER	G1G48-871	Q5LV41	D-xylose ABC transporter substrate-binding protein	
G1G48-2595-MONOMER	G1G48-2595	Q5LQD8	peptide ABC transporter permease	
G1G48-4131-MONOMER	G1G48-4131	Q5LL67	TRAP transporter permease DctM/Q	
G1G48-300-MONOMER	G1G48-300		hypothetical protein	
G1G48-1477-MONOMER	G1G48-1477	Q5LTG8	cyclase	
G1G48-126-MONOMER	G1G48-126	Q5LWS7	MFS transporter	
G1G48-2320-MONOMER	G1G48-2320	Q5LR48	50S ribosomal protein L9	
G1G48-1299-MONOMER	G1G48-1299		hypothetical protein	
G1G48-3-MONOMER	G1G48-3	Q5LWF1	chromosome partitioning protein ParA	
G1G48-2713-MONOMER	G1G48-2713	Q5LQ29	ABC transporter substrate-binding protein	
G1G48-4322-MONOMER	G1G48-4322	Q5LKN6	aldo/keto reductase	
G1G48-3704-MONOMER	G1G48-3704	Q5LMB6	CoA transferase	
G1G48-1051-MONOMER	G1G48-1051		hypothetical protein	
G1G48-1146-MONOMER	G1G48-1146	Q5LUC8	cytochrome c	
G1G48-1357-MONOMER	G1G48-1357	Q5LTT4	glutathione-disulfide reductase	
G1G48-1533-MONOMER	G1G48-1533	Q5LTB2	pyrroloquinoline quinone biosynthesis protein C	
G1G48-2294-MONOMER	G1G48-2294	Q5LR74	hypothetical protein	
G1G48-2576-MONOMER	G1G48-2576	Q5LQF7	ABC transporter ATP-binding protein	
G1G48-1786-MONOMER	G1G48-1786	Q5LSL7	RNA polymerase sigma factor RpoD	
G1G48-1664-MONOMER	G1G48-1664	Q5LSY2	tyrosine recombinase XerD	
G1G48-3544-MONOMER	G1G48-3544	Q5LMS2	LysR family transcriptional regulator	
G1G48-354-MONOMER	G1G48-354	Q5LXC4	succinate--CoA ligase subunit beta	
G1G48-4399-MONOMER	G1G48-4399	Q5LKF9	hypothetical protein	
G1G48-1340-MONOMER	G1G48-1340	Q5LTV1	peptidase M19	
G1G48-809-MONOMER	G1G48-809	Q5LVA3	TetR family transcriptional regulator	
G1G48-1454-MONOMER	G1G48-1454	Q5LTJ2	adenosylcobinamide-GDP ribazoletransferase	
G1G48-2821-MONOMER	G1G48-2821	Q5LPS8	hypothetical protein	
G1G48-3362-MONOMER	G1G48-3362	Q5LNA0	phosphonomutase	
G1G48-1102-MONOMER	G1G48-1102	Q5LUH1	choline-sulfatase	
G1G48-2535-MONOMER	G1G48-2535	Q5LQJ6	phosphate acyltransferase	
G1G48-395-MONOMER	G1G48-395	Q5LXH5	aminotransferase	
G1G48-3897-MONOMER	G1G48-3897	Q5LLT4	tRNA pseudouridine(55) synthase TruB	
G1G48-1174-MONOMER	G1G48-1174	Q5LUA0	phosphoribosyl-ATP pyrophosphatase	
G1G48-1434-MONOMER	G1G48-1434		hypothetical protein	
G1G48-2105-MONOMER	G1G48-2105	Q5LRQ8	hypothetical protein	
G1G48-489-MONOMER	G1G48-489	Q5LW60	microcystin dependent protein	
G1G48-1014-MONOMER	G1G48-1014		endoribonuclease L-PSP	
G1G48-3620-MONOMER	G1G48-3620	Q5LMJ9	permease	
G1G48-3159-MONOMER	G1G48-3159	Q5LNU4	protein TolB	
G1G48-1184-MONOMER	G1G48-1184	Q5LU90	hypothetical protein	
G1G48-4259-MONOMER	G1G48-4259	Q5LKU2	acyl-CoA synthetase	
G1G48-3093-MONOMER	G1G48-3093	Q5LP09	phosphate ABC transporter ATP-binding protein	
G1G48-253-MONOMER	G1G48-253	Q5LX41	farnesyl-diphosphate synthase	
G1G48-2267-MONOMER	G1G48-2267	Q5LRA1	peroxiredoxin	
G1G48-373-MONOMER	G1G48-373	Q5LXG0	purine-nucleoside phosphorylase	
G1G48-2785-MONOMER	G1G48-2785	Q5LPW3	hypothetical protein	
G1G48-766-MONOMER	G1G48-766	Q5LVE6	phenylacetate-CoA oxygenase subunit PaaB	
G1G48-2574-MONOMER	G1G48-2574	Q5LQF9	branched-chain amino acid ABC transporter permease	
G1G48-3822-MONOMER	G1G48-3822	Q5LM01	haloacid dehalogenase	
G1G48-688-MONOMER	G1G48-688	Q5LVM2	SpeB arginase/agmatinase/formimionoglutamate hydrolase SpeB	
G1G48-2549-MONOMER	G1G48-2549	Q5LQI3	membrane protein	
G1G48-1693-MONOMER	G1G48-1693	Q5LSV4	UMP kinase	
G1G48-454-MONOMER	G1G48-454		hypothetical protein	
G1G48-1667-MONOMER	G1G48-1667	Q5LSX9	3-dehydroquinate synthase	
G1G48-738-MONOMER	G1G48-738	Q5LMR5	elongation factor Tu	
G1G48-2822-MONOMER	G1G48-2822	Q5LPS7	NADH-quinone oxidoreductase subunit H	
G1G48-3437-MONOMER	G1G48-3437		hypothetical protein	
G1G48-259-MONOMER	G1G48-259		organic hydroperoxide resistance protein	
G1G48-3182-MONOMER	G1G48-3182	Q5LNS1	hypothetical protein	
G1G48-3545-MONOMER	G1G48-3545	Q5LMS1	ubiquinone biosynthesis protein UbiE	
G1G48-2561-MONOMER	G1G48-2561		alkane 1-monooxygenase	
G1G48-4092-MONOMER	G1G48-4092	Q5LLA5	phosphonate monoester hydrolase	
G1G48-3661-MONOMER	G1G48-3661	Q5LMF9	D-amino acid aminotransferase	
G1G48-1358-MONOMER	G1G48-1358	Q5LTT3	HflK protein	
G1G48-1078-MONOMER	G1G48-1078	Q5LUJ5	serine/threonine protein kinase	
G1G48-304-MONOMER	G1G48-304		MBL fold hydrolase	
G1G48-2026-MONOMER	G1G48-2026	Q5LRY1	50S ribosomal protein L27	
G1G48-661-MONOMER	G1G48-661	Q5LVP9	ABC transporter	
G1G48-966-MONOMER	G1G48-966		membrane protein	
G1G48-3817-MONOMER	G1G48-3817	Q5LM06	alkylhydroperoxidase	
G1G48-4067-MONOMER	G1G48-4067	Q5LLC8	branched-chain amino acid ABC transporter ATP-binding protein	
G1G48-4040-MONOMER	G1G48-4040	Q5LLE5	hypothetical protein	
G1G48-1585-MONOMER	G1G48-1585	Q5LT61	GntR family transcriptional regulator	
G1G48-4381-MONOMER	G1G48-4381	Q5LKH8	acyl-CoA dehydrogenase	
CPLX1G48-51			predicted ABC transporter of a C4-dicarboxylate	
G1G48-1532-MONOMER	G1G48-1532	Q5LTB3	pyrroloquinoline quinone biosynthesis protein PqqD	
G1G48-2682-MONOMER	G1G48-2682	Q5LQ59	ferredoxin--NADP(+) reductase	
G1G48-39-MONOMER	G1G48-39	Q5LWI1	3'(2'),5'-bisphosphate nucleotidase CysQ	
G1G48-1400-MONOMER	G1G48-1400		GntR family transcriptional regulator	
G1G48-3426-MONOMER	G1G48-3426	Q5LN38	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase	
G1G48-3922-MONOMER	G1G48-3922	Q5LLR0	adenosylhomocysteinase	
G1G48-953-MONOMER	G1G48-953	Q5LUV6	phosphomannomutase/phosphoglucomutase	
G1G48-4203-MONOMER	G1G48-4203	Q5LKZ7	glycine/betaine ABC transporter	
G1G48-2136-MONOMER	G1G48-2136		hypothetical protein	
G1G48-2631-MONOMER	G1G48-2631	Q5LQA7	type I secretion protein	
G1G48-1691-MONOMER	G1G48-1691	Q5LSV6	AraC family transcriptional regulator	
G1G48-3582-MONOMER	G1G48-3582	Q5LMN6	universal stress protein	
G1G48-3920-MONOMER	G1G48-3920	Q5LLR2	hypothetical protein	
G1G48-3847-MONOMER	G1G48-3847	Q5LLX8	sugar ABC transporter substrate-binding protein	
G1G48-2097-MONOMER	G1G48-2097	Q5LRR6	glutathione S-transferase	
G1G48-222-MONOMER	G1G48-222	Q5LX04	mechanosensitive ion channel protein	
G1G48-1872-MONOMER	G1G48-1872	Q5LSD3	ABC transporter ATP-binding protein	
G1G48-2387-MONOMER	G1G48-2387		hypothetical protein	
